iter	Passed	Remaining
602	2483	3695
603	2487	3689
604	2490	3684
605	2498	3685
606	2502	3681
607	2506	3676
608	2510	3673
609	2514	3668
610	2517	3662
611	2520	3657
612	2525	3653
613	2528	3648
614	2532	3643
615	2535	3638
616	2538	3633
617	2541	3627
618	2544	3621
619	2547	3615
620	2550	3610
621	2554	3605
622	2557	3600
623	2561	3595
624	2564	3590
625	2567	3585
626	2571	3580
627	2574	3575
628	2578	3570
629	2582	3566
630	2585	3560
631	2589	3555
632	2592	3550
633	2595	3545
634	2599	3540
635	2602	3535
636	2606	3531
637	2609	3526
638	2613	3520
639	2619	3519
640	2623	3515
641	2627	3512
642	2632	3508
643	2638	3507
644	2643	3504
645	2647	3500
646	2656	3501
647	2660	3497
648	2663	3492
649	2668	3488
650	2674	3488
651	2678	3483
652	2681	3477
653	2685	3473
654	2688	3468
655	2691	3463
656	2695	3458
657	2698	3453
658	2702	3448
659	2705	3442
660	2708	3437
661	2711	3432
662	2715	3428
663	2718	3422
664	2721	3417
665	2725	3412
666	2727	3406
667	2731	3401
668	2734	3396
669	2738	3391
670	2741	3386
671	2744	3381
672	2747	3376
673	2751	3371
674	2754	3366
675	2757	3360
676	2759	3355
677	2763	3350
678	2766	3345
679	2769	3340
680	2773	3335
681	2776	3329
682	2780	3325
683	2783	3320
684	2785	3314
685	2788	3308
686	2792	3304
687	2795	3299
688	2800	3296
689	2805	3293
690	2810	3290
691	2815	3287
692	2819	3283
693	2823	3278
694	2827	3274
695	2832	3271
696	2837	3269
697	2841	3264
698	2846	3261
699	2851	3258
700	2857	3257
701	2863	3254
702	2867	3250
703	2871	3246
704	2874	3241
705	2879	3238
706	2883	3234
707	2887	3229
708	2890	3224
709	2893	3220
710	2897	3215
711	2900	3210
712	2904	3205
713	2907	3200
714	2910	3195
715	2914	3191
716	2917	3186
717	2922	3182
718	2925	3177
719	2928	3172
720	2931	3167
721	2935	3162
722	2938	3158
723	2943	3154
724	2946	3150
725	2950	3145
726	2953	3140
727	2956	3135
728	2959	3130
729	2962	3125
730	2965	3119
731	2969	3115
732	2972	3110
733	2975	3105
734	2980	3101
735	2983	3096
736	2987	3092
737	2990	3087
738	2995	3084
739	3001	3082
740	3006	3079
741	3010	3075
742	3015	3072
743	3020	3069
744	3025	3066
745	3029	3061
746	3034	3058
747	3039	3055
748	3044	3052
749	3049	3049
750	3056	3048
751	3059	3043
752	3063	3038
753	3067	3034
754	3071	3030
755	3074	3025
756	3077	3020
757	3080	3015
758	3084	3010
759	3087	3006
760	3091	3001
761	3094	2996
762	3097	2992
763	3101	2987
764	3103	2982
765	3107	2977
766	3110	2972
767	3112	2967
768	3115	2961
769	3118	2956
770	3122	2952
771	3125	2947
772	3128	2942
773	3132	2938
774	3135	2933
775	3138	2928
776	3141	2923
777	3145	2918
778	3148	2914
779	3151	2909
780	3155	2904
781	3157	2899
782	3160	2894
783	3164	2889
784	3167	2884
785	3170	2880
786	3173	2875
787	3176	2869
788	3178	2864
789	3182	2860
790	3185	2855
791	3190	2852
792	3195	2848
793	3199	2844
794	3204	2841
795	3208	2837
796	3212	2834
797	3216	2829
798	3221	2826
799	3225	2822
800	3229	2818
801	3234	2815
802	3244	2815
803	3248	2811
804	3252	2808
805	3257	2804
806	3261	2800
807	3265	2796
808	3268	2791
809	3272	2787
810	3276	2783
811	3279	2778
812	3282	2773
813	3285	2769
814	3289	2764
815	3292	2760
816	3296	2755
817	3299	2750
818	3302	2746
819	3306	2741
820	3309	2737
821	3312	2732
822	3316	2728
823	3319	2723
824	3323	2718
825	3326	2714
826	3329	2709
827	3332	2704
828	3336	2700
829	3339	2695
830	3343	2691
831	3346	2686
832	3349	2682
833	3353	2677
834	3356	2673
835	3359	2667
836	3362	2663
837	3365	2658
838	3369	2654
839	3372	2649
840	3375	2645
841	3378	2640
842	3382	2636
843	3388	2633
844	3392	2629
845	3397	2626
846	3402	2623
847	3406	2619
848	3410	2614
849	3414	2611
850	3420	2608
851	3424	2604
852	3429	2601
853	3436	2599
854	3440	2595
855	3445	2592
856	3449	2588
857	3452	2583
858	3455	2578
859	3459	2574
860	3464	2571
