wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,distance,azimuth
brick,6,8.0,55.0,8.0,55.737137,37.651322,18900000,2801.0,127.0
panel,24,24.0,55.0,8.0,55.753058,37.58579,19100000,1874.0,273.0
brick,6,6.0,57.2,7.0,55.755023,37.59842,19900000,1124.0,286.0
brick,3,9.0,56.5,8.9,55.77709399999999,37.709731,11000000,6526.0,65.0
brick,8,9.0,56.0,6.0,55.75811899999999,37.538548,11800000,4883.0,278.0
brick,4,5.0,56.4,10.0,55.753387,37.544306,13100000,4479.0,272.0
brick,2,9.0,57.7,5.4,55.767357,37.556092,13500000,4099.0,294.0
monolith,5,7.0,56.4,13.7,55.783509,37.670303,15000000,4893.0,44.0
block,4,6.0,55.0,9.0,55.790246,37.632655,16500000,4369.0,14.0
monolith,12,46.0,56.0,9.0,55.75133,37.526887,17000000,5571.0,269.0
brick,9,9.0,56.0,5.2,55.724642,37.572342,17500000,4098.0,221.0
brick,5,5.0,55.1,6.0,55.75129,37.57927700000001,17700000,2283.0,267.0
brick,9,14.0,55.7,9.5,55.721447,37.626241,17600000,3489.0,169.0
brick,1,5.0,57.0,7.0,55.73719300000001,37.623573,17950000,1744.0,163.0
monolith,5,5.0,58.0,9.0,55.763984,37.657655,14990000,2948.0,64.0
monolith,5,5.0,58.0,27.5,55.774958,37.672971,25500000,4403.0,55.0
panel,8,9.0,58.0,7.0,55.783139,37.642671,10700000,3841.0,26.0
monolithBrick,2,8.0,58.0,6.0,55.767357,37.556092,13450000,4099.0,294.0
stalin,11,15.0,58.4,9.0,55.780097,37.668264,16988000,4536.0,47.0
brick,4,8.0,58.0,10.0,55.763933,37.564401,17200000,3470.0,292.0
brick,2,8.0,59.0,10.0,55.73925,37.643704,18890000,2279.0,129.0
monolith,1,9.0,59.2,11.0,55.76794399999999,37.582781,20128000,2705.0,310.0
brick,4,9.0,58.4,6.0,55.731901,37.615668,22500000,2260.0,180.0
panel,4,9.0,58.4,5.0,55.731901,37.615668,22500000,2260.0,180.0
monolith,3,14.0,58.1,10.0,55.786703,37.617474,38000000,3843.0,2.0
brick,2,16.0,58.0,11.0,55.771925,37.572369,15700000,3491.0,309.0
brick,3,8.0,60.0,7.0,55.77813199999999,37.598169,19800000,3088.0,339.0
brick,7,9.0,58.0,8.5,55.775054,37.588054,20850000,3076.0,326.0
stalin,4,7.0,60.0,8.0,55.76104100000001,37.573366,21000000,2828.0,290.0
monolith,9,25.0,58.7,21.5,55.758402,37.549282,21300000,4221.0,279.0
panel,11,14.0,59.4,7.6,55.734151,37.61892,23000000,2020.0,174.0
brick,3,4.0,60.0,9.0,55.769048,37.604322,26000000,2005.0,339.0
brick,7,10.0,58.0,7.0,55.730826,37.631559,19800000,2582.0,157.0
monolith,2,6.0,62.0,10.0,55.746203,37.636437,36900000,1469.0,117.0
monolithBrick,5,5.0,62.0,20.0,55.759436,37.605733,24940000,1016.0,322.0
brick,5,5.0,62.0,20.0,55.759436,37.605733,24950000,1016.0,322.0
monolith,9,79.0,62.0,12.0,55.751143000000006,37.53373300000001,27192000,5142.0,269.0
monolith,7,79.0,62.0,12.0,55.751143000000006,37.53373300000001,27013500,5142.0,269.0
brick,6,8.0,60.0,9.0,55.722107,37.57669,22200000,4147.0,216.0
monolith,8,11.0,62.9,12.0,55.725118,37.572836,41000000,4038.0,222.0
brick,1,4.0,61.7,7.0,55.72961,37.571363,18500000,3748.0,228.0
brick,1,7.0,60.0,8.0,55.75661899999999,37.65399,19000000,2460.0,78.0
brick,12,12.0,60.0,8.0,55.74446,37.613018,50000000,877.0,191.0
brick,1,5.0,62.0,6.6,55.73256,37.663737,12300000,3731.0,126.0
panel,4,12.0,62.7,7.5,55.734846,37.679278,14490000,4442.0,116.0
brick,1,5.0,62.4,7.0,55.78938,37.597782,14800000,4288.0,345.0
brick,5,5.0,60.0,9.0,55.779028,37.60964,15000000,3010.0,353.0
brick,4,7.0,60.3,8.6,55.766466,37.640668,17500000,2236.0,45.0
brick,4,5.0,60.2,11.1,55.774259,37.593021,17700000,2836.0,330.0
brick,1,4.0,61.7,7.0,55.72961,37.571363,18500000,3748.0,228.0
brick,3,6.0,62.0,7.0,55.758575,37.579098,20800000,2399.0,287.0
monolith,2,10.0,60.0,25.0,55.766116,37.567051,23000000,3419.0,297.0
brick,4,6.0,60.0,7.0,55.761173,37.599507,25000000,1421.0,315.0
monolith,10,21.0,62.0,10.0,55.761644,37.550567,26850000,4216.0,284.0
brick,5,13.0,60.0,10.0,55.763630000000006,37.610799,27000000,1308.0,347.0
brick,7,11.0,62.4,9.7,55.716133,37.576492,28000000,4708.0,211.0
brick,5,6.0,60.6,9.0,55.76539200000001,37.610287,28900000,1506.0,347.0
stalin,3,4.0,60.0,9.0,55.769048,37.604322,35000000,2005.0,339.0
brick,3,5.0,61.0,8.3,55.768638,37.67763400000001,13500000,4303.0,65.0
panel,7,12.0,60.0,7.7,55.753889,37.657305,13800000,2625.0,86.0
brick,5,5.0,61.4,6.8,55.735155000000006,37.589195,15000000,2520.0,221.0
panel,3,12.0,62.2,7.1,55.785878,37.60103400000001,15500000,3859.0,346.0
brick,1,5.0,60.0,11.0,55.771337,37.635566,15700000,2472.0,30.0
brick,6,9.0,62.5,10.5,55.773034,37.67576500000001,18900000,4432.0,58.0
brick,6,6.0,60.0,7.0,55.769059,37.630715,19000000,2103.0,27.0
panel,7,9.0,63.3,7.0,55.782856,37.59232100000001,15200000,3713.0,337.0
brick,8,8.0,64.8,7.0,55.782198,37.670645,12400000,4805.0,46.0
panel,2,14.0,63.0,7.0,55.721351,37.624409,15500000,3479.0,171.0
brick,3,5.0,64.2,9.0,55.774629,37.627696,18300000,2610.0,17.0
block,1,9.0,64.0,9.5,55.733812,37.661787,11200000,3551.0,125.0
brick,3,3.0,63.0,7.0,55.748148,37.67608,13900000,3825.0,97.0
panel,7,16.0,63.0,11.1,55.776006,37.646274,14650000,3276.0,36.0
monolithBrick,5,7.0,63.0,10.0,55.77629399999999,37.672163,14780000,4450.0,53.0
brick,4,6.0,64.3,8.3,55.725326,37.567051,17600000,4272.0,226.0
brick,2,6.0,63.0,18.0,55.76191800000001,37.649624,22500000,2395.0,63.0
monolith,6,14.0,63.1,12.5,55.766116,37.567051,24450000,3419.0,297.0
monolithBrick,7,7.0,64.0,10.0,55.725275,37.624822,24750000,3053.0,169.0
monolith,7,17.0,63.0,15.0,55.791289,37.598959,28990000,4476.0,347.0
brick,7,10.0,64.0,8.5,55.754801,37.58455,29500000,1971.0,278.0
brick,4,8.0,63.9,8.0,55.743497,37.633733,29900000,1495.0,130.0
monolith,2,5.0,63.9,10.0,55.764425,37.65214,36500000,2667.0,59.0
brick,7,10.0,63.3,12.0,55.736422,37.651735,18000000,2870.0,128.0
monolith,6,44.0,66.1,14.0,55.77080600000001,37.564212,19000000,3834.0,303.0
monolith,9,13.0,65.4,15.0,55.768527,37.592132,27500000,2340.0,321.0
brick,4,6.0,65.0,8.0,55.722117,37.627867,16500000,3437.0,167.0
monolith,5,21.0,65.3,8.4,55.737709,37.689932,17280000,4939.0,109.0
brick,5,7.0,65.5,7.0,55.72835300000001,37.564913,19990000,4145.0,230.0
block,4,12.0,66.1,28.0,55.738292,37.676062,18500000,4101.0,112.0
brick,5,11.0,66.1,9.0,55.754897,37.569872,26500000,2887.0,276.0
panel,2,12.0,67.0,11.0,55.777464,37.690911,12900000,5501.0,59.0
brick,1,5.0,66.0,8.0,55.759765,37.551061,14300000,4139.0,282.0
panel,4,12.0,65.0,7.0,55.785878,37.60103400000001,18000000,3859.0,346.0
block,4,12.0,66.0,28.0,55.738292,37.676062,18500000,4101.0,112.0
brick,4,4.0,67.5,5.0,55.767149,37.634892,21990000,2058.0,36.0
brick,4,4.0,65.4,7.0,55.746375,37.592033,22000000,1616.0,246.0
brick,2,5.0,65.0,10.0,55.745149,37.59692,22100000,1411.0,236.0
brick,5,6.0,67.0,11.0,55.729807,37.62978,22800000,2647.0,160.0
brick,3,9.0,65.5,10.0,55.76570600000001,37.57927700000001,24000000,2732.0,303.0
brick,6,9.0,66.0,10.0,55.761502,37.598663,30000000,1484.0,314.0
stalin,14,24.0,65.0,9.0,55.74711,37.642815,38800000,1800.0,108.0
block,3,16.0,65.5,8.0,55.77579300000001,37.689042,13800000,5306.0,60.0
monolith,2,16.0,65.0,8.1,55.787923,37.632224,15000000,4112.0,15.0
